date,close,GIN,LBR,SLE,NGA,SEN,USA
2014-10-29,13567,1667,6535,5338,0020,0001,0004
2014-10-27,13703,1906,6535,5235,0020,0001,0004
2014-10-23,10141,1553,4665,3896,0020,0001,0004
2014-10-19,9936,1540,4665,3706,0020,0001,0003
2014-10-17,9693,1501,4607,3560,0020,0001,0003
2014-10-14,9216,1519,4262,3410,0020,0001,0003
2014-10-12,8997,1472,4249,3252,0020,0001,0002
2014-10-7,8399,1350,4076,2950,0020,0001,0001
2014-10-5,8033,1298,3924,2789,0020,0001,0001
2014-10-1,7492,1199,3834,2437,0020,0001,0001
2014-9-28,7192,1157,3696,2317,0020,0001,0001
2014-9-25,6808,1103,3564,2120,0020,0001,0000
2014-9-23,6574,1074,3458,2021,0020,0001,0000
2014-9-21,6263,1022,3280,1940,0020,0001,0000
2014-9-17,5762,0965,3022,1753,0021,0001,0000
2014-9-14,5339,0942,2720,1655,0021,0001,0000
2014-9-10,4846,0899,2415,1509,0022,0003,0000
2014-9-7,4366,0861,2081,1424,0022,0003,0000
2014-9-3,4001,0823,1863,1292,0022,0001,0000
2014-8-31,3707,0771,1698,1216,0021,0001,0000
2014-8-25,3071,0648,1378,1026,0019,0000,0000
2014-8-20,2615,0607,1082,0910,0016,0000,0000
2014-8-18,2473,0579,0972,0907,0015,0000,0000
2014-8-16,2240,0543,0834,0848,0015,0000,0000
2014-8-13,2127,0519,0786,0810,0012,0000,0000
2014-8-11,1975,0510,0670,0783,0012,0000,0000
2014-8-9,1843,0506,0599,0730,0013,0000,0000
2014-8-6,1779,0495,0554,0717,0013,0000,0000
2014-8-4,1711,0495,0516,0691,0009,0000,0000
2014-8-1,1603,0485,0468,0646,0004,0000,0000
2014-7-27,1323,0460,0329,0533,0001,0000,0000
2014-7-20,1093,0415,0224,0454,0000,0000,0000
2014-7-17,1048,0410,0196,0442,0000,0000,0000
2014-7-12,964,0406,0172,0386,0000,0000,0000
2014-7-8,888,0409,0142,0337,0000,0000,0000
2014-7-6,844,0408,0131,0305,0000,0000,0000
2014-7-2,779,0412,0115,0252,0000,0000,0000
2014-6-30,759,0413,0107,0239,0000,0000,0000
2014-6-22,567,0390,0041,0136,0000,0000,0000
2014-6-17,528,0398,0033,0097,0000,0000,0000
2014-6-10,474,0372,0013,0089,0000,0000,0000
2014-6-5,438,0344,0013,0081,0000,0000,0000
2014-6-2,354,0291,0013,0050,0000,0000,0000
2014-5-27,309,0281,0012,0016,0000,0000,0000
2014-5-23,270,0258,0012,0000,0000,0000,0000
2014-5-14,245,0233,0012,0000,0000,0000,0000
2014-5-5,243,0231,0012,0000,0000,0000,0000
2014-4-30,233,0221,0012,0000,0000,0000,0000
2014-4-23,220,0208,0012,0000,0000,0000,0000
2014-4-21,215,0203,0012,0000,0000,0000,0000
2014-4-17,209,0197,0012,0000,0000,0000,0000
2014-4-10,169,0157,0012,0000,0000,0000,0000
2014-4-7,163,0151,0012,0000,0000,0000,0000
2014-4-2,135,0127,0008,0000,0000,0000,0000
2014-4-1,130,0122,0008,0000,0000,0000,0000
2014-3-31,114,0112,0002,0000,0000,0000,0000
2014-3-27,103,0103,0000,0000,0000,0000,0000
2014-3-26,86,0086,0000,0000,0000,0000,0000
2014-3-25,86,0086,0000,0000,0000,0000,0000
2014-3-22,49,0049,0000,0000,0000,0000,0000
